项目编号,项目名称,项目类型,所在地区,融资金额(万元),已募集金额(万元),预期年化收益率,项目期限(月),风险等级,是否推荐
P-1001,智慧仓储物流升级,仓储物流,江苏省南京市,500,260,0.11,18,B,推荐
P-1002,社区生鲜冷链配送,农食链,浙江省杭州市,420,210,0.13,12,B,推荐
P-1003,智能家居制造扩产,制造业,广东省深圳市,800,340,0.09,24,A,强烈推荐
P-1004,县域餐饮品牌扩张,餐饮服务,四川省成都市,300,110,0.15,12,C,谨慎
P-1005,新能源设备租赁,设备租赁,山东省青岛市,650,280,0.12,18,B,推荐
P-1006,中小商户数字化升级,互联网+服务,北京市,480,220,0.10,12,A,强烈推荐
P-1007,农产品深加工项目,农产品加工,安徽省合肥市,600,260,0.14,18,C,谨慎
P-1008,保洁清洗服务扩张,生活服务,福建省福州市,240,100,0.16,10,C,谨慎
P-1009,新能源充电站建设,能源基础设施,湖北省武汉市,900,420,0.08,24,A,强烈推荐
P-1010,老旧社区改造工程,公建服务,陕西省西安市,550,230,0.12,18,B,推荐
P-1011,跨境电商仓配网络,电商服务,上海市,700,310,0.11,15,B,推荐
P-1012,文创手作工作室,文旅消费,重庆市,250,90,0.17,9,C,谨慎
P-1013,医疗器械零售门店扩张,医疗健康,广东省广州市,360,140,0.10,12,A,强烈推荐
P-1014,社区养老服务平台,健康养老,江苏省苏州市,420,150,0.13,12,B,推荐
P-1015,农业无人机服务,科技服务,河南省郑州市,310,120,0.18,12,C,谨慎
P-1016,快消品加盟扩张,消费品,天津市,450,200,0.11,15,B,推荐
P-1017,智能制造零部件工厂,制造业,广东省东莞市,880,390,0.09,24,A,强烈推荐
P-1018,冷链运输网络建设,物流服务,江苏省无锡市,730,330,0.12,18,B,推荐
P-1019,教育培训连锁扩张,教育培训,北京市,500,180,0.10,12,A,强烈推荐
P-1020,绿色包装材料工厂,产业升级,浙江省宁波市,620,270,0.11,18,B,推荐
