企业名称,行业,成立年限,月营收(万),月负债(万),历史逾期次数,现金流波动率,是否违约
杭州兴盛餐饮管理有限公司,餐饮,6,120,42,1,0.22,0
南京禾田农产品配送有限公司,农林牧渔,4,90,31,0,0.18,0
苏州华景轻工制造有限公司,轻工制造,8,160,54,2,0.41,1
青岛润泽商业管理有限公司,批发零售,5,110,38,1,0.24,0
宁波潮汐生活服务有限公司,生活服务业,3,78,27,0,0.16,0
厦门悦来餐饮连锁有限公司,餐饮,9,142,51,2,0.48,1
深圳中禾农贸供应链公司,农林牧渔,7,130,46,1,0.28,0
东莞智造轻工科技有限公司,轻工制造,10,175,63,3,0.62,1
上海优品零售集团有限公司,批发零售,12,180,68,1,0.21,0
广州乐居生活服务有限公司,生活服务业,5,88,29,0,0.15,0
武汉丰禾食品有限公司,餐饮,2,62,24,0,0.14,0
长沙新粮仓储有限公司,农林牧渔,6,102,35,1,0.26,0
无锡恒源制造有限公司,轻工制造,11,168,60,2,0.57,1
济南名流零售有限公司,批发零售,4,95,32,0,0.17,0
杭州云栖生活服务有限公司,生活服务业,8,115,40,1,0.25,0
福州海岛农产品有限公司,农林牧渔,3,74,26,0,0.13,0
珠海雅诚餐饮管理有限公司,餐饮,7,128,44,2,0.46,1
天津北港贸易有限公司,批发零售,9,150,52,1,0.23,0
西安创新制造有限公司,轻工制造,6,96,33,1,0.31,0
成都乐享生活服务有限公司,生活服务业,4,82,28,0,0.12,0
北京中农优品有限公司,农林牧渔,5,108,37,0,0.19,0
青岛海阔餐饮有限公司,餐饮,10,155,58,3,0.66,1
苏州名景零售有限公司,批发零售,8,140,49,1,0.27,0
东莞创辉制造有限公司,轻工制造,7,128,45,1,0.27,0
厦门棠梓生活服务有限公司,生活服务业,6,94,31,0,0.15,0
郑州盛田农产品有限公司,农林牧渔,4,85,30,0,0.14,0
重庆芊云餐饮有限公司,餐饮,5,101,35,0,0.18,0
佛山智诚制造有限公司,轻工制造,9,146,53,2,0.49,1
南京锦绣零售有限公司,批发零售,7,124,41,1,0.20,0
