企业编号,企业名称,行业,地区,成立年限,员工人数,注册资本(万元),月营收(万),月负债(万),历史逾期次数,还款及时率,信用评分,风险等级
E-0001,杭州兴盛餐饮管理有限公司,餐饮,浙江省杭州市,6,18,120,120,42,1,0.97,82,A
E-0002,南京禾田农产品配送有限公司,农林牧渔,江苏省南京市,4,12,90,90,31,0,0.99,88,AA
E-0003,苏州华景轻工制造有限公司,轻工制造,江苏省苏州市,8,30,210,160,54,2,0.92,68,B
E-0004,青岛润泽商业管理有限公司,批发零售,山东省青岛市,5,16,110,110,38,1,0.96,81,A
E-0005,宁波潮汐生活服务有限公司,生活服务业,浙江省宁波市,3,10,80,78,27,0,0.99,90,AA
E-0006,厦门悦来餐饮连锁有限公司,餐饮,福建省厦门市,9,22,150,142,51,2,0.91,67,B
E-0007,深圳中禾农贸供应链公司,农林牧渔,广东省深圳市,7,15,130,130,46,1,0.95,80,A
E-0008,东莞智造轻工科技有限公司,轻工制造,广东省东莞市,10,35,260,175,63,3,0.89,59,C
E-0009,上海优品零售集团有限公司,批发零售,上海市,12,40,280,180,68,1,0.97,84,A
E-0010,广州乐居生活服务有限公司,生活服务业,广东省广州市,5,11,100,88,29,0,0.99,91,AA
E-0011,武汉丰禾食品有限公司,餐饮,湖北省武汉市,2,9,60,62,24,0,0.98,87,AA
E-0012,长沙新粮仓储有限公司,农林牧渔,湖南省长沙市,6,14,95,102,35,1,0.95,79,A
E-0013,无锡恒源制造有限公司,轻工制造,江苏省无锡市,11,38,250,168,60,2,0.90,63,B
E-0014,济南名流零售有限公司,批发零售,山东省济南市,4,12,85,95,32,0,0.99,89,AA
E-0015,杭州云栖生活服务有限公司,生活服务业,浙江省杭州市,8,20,140,115,40,1,0.96,77,A
E-0016,福州海岛农产品有限公司,农林牧渔,福建省福州市,3,8,70,74,26,0,0.99,92,AA
E-0017,珠海雅诚餐饮管理有限公司,餐饮,广东省珠海市,7,19,140,128,44,2,0.93,71,A
E-0018,天津北港贸易有限公司,批发零售,天津市,9,24,170,150,52,1,0.96,83,A
E-0019,西安创新制造有限公司,轻工制造,陕西省西安市,6,28,120,96,33,1,0.95,78,A
E-0020,成都乐享生活服务有限公司,生活服务业,四川省成都市,4,10,85,82,28,0,0.99,90,AA
